number,job,medium,beats covered,gender,local or foreign,freelance,type of death,suspected source of fire,impunity,taken captive,tortured,threatened
993,"Broadcast Reporter, Camera Operator",Television,"Politics, War",Male,Local,No,Dangerous Assignment,Political Group,,,,
994,Print Reporter,Print,Crime,Male,Local,No,Dangerous Assignment,Political Group,,,,
995,Editor,Print,"Corruption, Crime",Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,No
996,,,,Male,Foreign,No,Murder,Local Residents,Complete Impunity,No,No,No
997,Columnist / Commentator,"Print, Internet","Culture, Human Rights, Politics",Male,Local,Yes,Murder,Political Group,Partial Impunity,No,No,Yes
998,Broadcast Reporter,Television,Human Rights,Male,Foreign,Yes,Murder,Unknown Fire,Complete Impunity,No,No,No
999,Broadcast Reporter,Radio,War,Male,Foreign,No,Crossfire,Military Officials,,,,
1000,Print Reporter,Print,Human Rights,Male,Local,No,Murder,Military Officials,Complete Impunity,No,No,No
1001,Print Reporter,Print,Politics,Male,Local,No,Murder,Military Officials,Complete Impunity,Yes,No,No
1002,Photographer,Print,War,Male,Local,No,Dangerous Assignment,Political Group,,,,
1003,Print Reporter,Print,Corruption,Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,Yes
1004,Print Reporter,Print,Politics,Male,Local,Yes,Murder,Political Group,Complete Impunity,Yes,No,No
1005,Broadcast Reporter,"Radio, Television","Politics, War",Male,Local,Yes,Dangerous Assignment,Government Officials,,,,
1006,"Camera Operator, Editor, Broadcast Reporter",Television,War,Male,Local,No,Crossfire,Military Officials,,,,
1007,Publisher / Owner,Print,War,Male,Local,No,Murder,Political Group,Complete Impunity,No,No,Yes
1008,Editor,Television,"Culture, Politics",Male,Local,No,Murder,Political Group,Complete Impunity,Yes,No,No
1009,Broadcast Reporter,Television,Politics,Male,Local,No,Murder,Political Group,Complete Impunity,No,No,Yes
1010,Broadcast Reporter,Television,"Corruption, Human Rights, Politics",Female,Local,No,Murder,Political Group,Complete Impunity,No,No,No
1011,Broadcast Reporter,Television,"Politics, War",Female,Local,No,Murder,Political Group,Complete Impunity,Yes,No,Yes
1012,"Print Reporter, Publisher / Owner",Print,"Corruption, Crime, Politics",Male,Local,No,Murder,Government Officials,Partial Impunity,No,No,No
1013,"Broadcast Reporter, Producer",Television,"Culture, Sports, War",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,Yes
1014,Photographer,Print,War,Male,Foreign,Yes,Crossfire,Military Officials,,,,
1015,Internet Reporter,Internet,"Culture, Politics",Male,Local,Yes,Murder,Political Group,Complete Impunity,No,No,Yes
1016,Print Reporter,Print,"Corruption, Crime, Politics",Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,Yes
1017,Print Reporter,Print,Corruption,Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,Yes
1018,Print Reporter,Print,"Corruption, Crime",Male,Local,Yes,Murder,Criminal Group,Complete Impunity,No,No,No
1019,"Broadcast Reporter, Camera Operator",Television,"Crime, Politics",Male,Local,No,Dangerous Assignment,Unknown Fire,,,,
1020,Print Reporter,Print,"Corruption, Crime, Politics",Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,No
1021,Editor,Print,Crime,Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
1022,Print Reporter,Print,"Corruption, Human Rights, Politics",Male,Local,Yes,Dangerous Assignment,Government Officials,,,,
1023,Camera Operator,Internet,"Human Rights, War",Male,Local,Yes,Crossfire,Military Officials,,,,
1024,Broadcast Reporter,"Television, Internet","Human Rights, Politics, War",Male,Local,No,Crossfire,Military Officials,,,,
1025,Photographer,"Print, Television, Internet","Human Rights, Politics, War",Male,Local,No,Crossfire,Military Officials,,,,
1026,Camera Operator,Television,War,Male,Local,No,Dangerous Assignment,Political Group,,,,
1027,Producer,Television,War,Male,Local,No,Murder,Unknown Fire,Complete Impunity,No,No,No
1028,Camera Operator,Television,War,Male,Local,Yes,Crossfire,Military Officials,,,,
1029,Broadcast Reporter,Radio,"Politics, War",Female,Local,No,Murder,Political Group,Complete Impunity,No,No,No
1030,Camera Operator,Television,War,Male,Local,No,Crossfire,Unknown Fire,,,,
1031,Broadcast Reporter,Television,"Politics, War",Male,Local,No,Dangerous Assignment,Political Group,,,,
1032,Broadcast Reporter,Television,"Politics, War",Male,Local,No,Murder,Unknown Fire,Complete Impunity,Yes,Yes,No
1033,Print Reporter,Print,"Crime, Politics",Female,Local,No,Murder,Unknown Fire,Complete Impunity,No,No,No
1034,"Broadcast Reporter, Camera Operator, Print Reporter","Print, Television","Business, Corruption, Crime, Human Rights, Politics, War",Male,Local,No,Murder,Unknown Fire,Complete Impunity,No,No,No
1035,,Print,Corruption,Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,Yes
1036,Columnist / Commentator,Radio,"Human Rights, Politics",Female,Local,No,Murder,Political Group,Complete Impunity,No,No,No
1037,Photographer,Print,"Human Rights, War",Male,Foreign,Yes,Crossfire,Military Officials,,,,
1038,Columnist / Commentator,Radio,"Corruption, Crime",Male,Local,No,Murder,Unknown Fire,Complete Impunity,No,No,No
1039,Print Reporter,Print,Politics,Male,Local,No,Murder,Government Officials,Complete Impunity,Yes,Yes,No
1040,Photographer,Print,Politics,Male,Local,No,Murder,Government Officials,Complete Impunity,Yes,Yes,No
1041,Broadcast Reporter,Television,Culture,Male,Local,No,Murder,Political Group,Complete Impunity,No,No,No
1042,Editor,Print,"Politics, War",Male,Local,No,Murder,Military Officials,Complete Impunity,No,No,Yes
1043,"Editor, Publisher / Owner",Print,"Business, Corruption, Crime",Male,Local,No,Murder,Unknown Fire,Complete Impunity,No,No,No
1044,Broadcast Reporter,Television,Human Rights,Male,Local,No,Dangerous Assignment,Political Group,,,,
1045,Camera Operator,Television,War,Male,Foreign,Yes,Murder,Unknown Fire,Complete Impunity,No,No,No
1046,Broadcast Reporter,Radio,"Corruption, Crime",Male,Local,No,Murder,Criminal Group,Complete Impunity,Yes,No,No
1047,Broadcast Reporter,Television,Culture,Male,Local,Yes,Murder,Mob Violence,Complete Impunity,No,No,No
1048,Print Reporter,Print,"Politics, War",Male,Local,No,Murder,Political Group,Complete Impunity,No,No,Yes
1049,"Columnist/Commentator, Editor","Internet, Print","Business, Culture, Politics, Sports",Male,Local,No,Murder,Local Residents,Complete Impunity,No,No,Yes
1050,Broadcast Reporter,Radio,War,Male,Local,No,Dangerous Assignment,Military Officials,,,,
1051,Editor,Print,Culture,Male,Local,No,Murder,Local Residents,Full Justice,No,No,No
1052,Print Reporter,Print,Crime,Male,Local,No,Murder,Criminal Group,Complete Impunity,No,No,Yes
1053,Photographer,Print,Human Rights,Male,Local,No,Dangerous Assignment,Paramilitary Group,,,,
1054,"Broadcast Reporter, Camera Operator",Television,War,Male,Foreign,Yes,Crossfire,Military Officials,,,,
1055,Broadcast Reporter,Radio,"Crime, Politics",Male,Local,No,Murder,Paramilitary Group,Complete Impunity,Yes,No,Yes
1056,Print Reporter,Print,Crime,Male,Local,No,Murder,Criminal Group,Complete Impunity,Yes,No,Yes
1057,"Broadcast Reporter, Print Reporter","Print, Radio",Crime,Male,Local,No,Murder,Government Officials,Partial Impunity,No,No,Yes
1058,Columnist / Commentator,Radio,"Corruption, Crime",Male,Local,No,Murder,Government Officials,Complete Impunity,No,No,No
1059,"Editor, Print Reporter",Print,"Politics, War",Male,Local,No,Unknown,Military Officials,,,,
